,Cell,Case,Class,AngleCh1,AreaCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,ConvexHullAreaRatioCh1,ConvexHullPerimRatioCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EqCircDiamCh1,EqEllipseLWRCh1,EqEllipseOblateVolCh1,EqEllipseProlateVolCh1,EqSphereAreaCh1,EqSphereVolCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberLengthCh1,FiberWidthCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,LengthCh1,NeighborAvgDistCh1,NeighborMinDistCh1,NeighborVarDistCh1,PerimCh1,ShapeBFRCh1,ShapeLWRCh1,ShapeP2ACh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SpotFiberCountCh3,SpotFiberCountCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,WidthCh1,XCentroid,YCentroid
1,207827637,Test,PS,143.247704735,185,15.7118644068,4.95480225989,9.54802259887,2.21468926554,1.124508519,0.919682705372,29.5192307692,13.7756410256,6.82692307692,4.96978086367,4.37101744229,2.71888366113,15.3695395798,3.06067606748,336.969143297,110.096310706,742.115646259,1900.99596633,1.0,1.0,26.9813246758,7.4103651565,0.0111838985221,0.0504480052908,40.7517772755,13.8954386686,7.19945754822,5.24974363971,0.0774193548387,0.171974522293,-0.656744087043,-0.608058267903,0.725814546074,26.2077874658,370.454298905,99.1034927113,127.960800633,68.7833796646,0.665147951309,2.46244975291,1.88300601612,0.454504838187,0.460393403457,1.23277360124,1,5.0,2781,701.0,1690,392,12.474676062,7.60903484971,2.71409983195,10.6429735002,42,14
2,207932307,Train,PS,133.752036738,819,31.9232736573,206.878516624,69.9168797954,164.153452685,1.26315789474,0.797080136607,31.875,43.1222826087,79.308423913,6.08759219183,6.64276065252,7.88015471811,32.3055843481,1.55839419175,2232.9054846,1432.82456802,3278.72562358,17653.5245311,1.48793541098,1.35237424668,64.2823016059,13.1670790598,0.0280510612643,0.0125949750411,8.22795294561,6.9840456661,6.82213758358,7.09898842821,0.153214774282,0.0738714090287,-0.248769067292,-0.330783899631,-0.265263786266,47.218548014,174.444157107,30.111141443,81.3806327515,154.898761331,0.539758366756,1.46818085333,2.25581038098,0.398704674532,0.619730785592,0.527263128574,4,12.0,24964,160998.0,54675,128368,18.8092251819,56.7153524052,118.388138715,32.161261269,215,347
3,207932463,Train,WS,106.64638727,431,28.0388349515,116.315533981,63.9417475728,106.696601942,1.05330990041,0.935474953289,32.4877102199,35.9857697283,51.3570504528,5.88355654897,6.68300002875,7.14460116868,23.4489193276,1.37538618804,802.194543937,583.250399717,1727.41043084,6750.98463974,1.30052197895,1.52231582394,21.141149578,21.141149578,0.00686231526737,0.006141691108,14.4460737716,16.7008434864,7.58010023856,7.67147821856,0.0283505154639,0.0231958762887,-0.293484630014,1.05128133587,0.150614005698,28.1430314458,158.477377032,34.944765292,90.4376825503,84.5645983118,0.724311593036,1.32840848796,1.27219265225,0.472487087102,0.971378787001,0.324706503966,2,7.0,11552,47511.0,26344,43959,17.2956430509,37.6710533054,49.4705236166,21.1855251611,371,252
4,207932470,Train,PS,69.1503248055,298,19.4561403509,102.294736842,28.2175438596,31.0280701754,1.20262510254,0.865829114036,26.7322834646,22.9173228346,26.3937007874,5.42006493168,5.43673168917,5.77832948116,19.5027859614,3.39122021854,724.714309992,213.703110765,1194.93197279,3884.08375062,1.22042390085,1.73325044383,43.1411228334,7.40441241566,0.0309620712698,0.0110331951205,7.29945736434,13.3908837209,6.31264099211,7.19702609874,0.162790697674,0.077519379845,0.625856124168,0.127740606543,-0.347293645256,37.8595737382,206.334368716,33.080298101,116.892757028,101.091070498,0.589162544598,2.82685399912,2.54584001796,0.881671383535,0.999892798356,0.604439875533,4,8.0,5545,28870.0,8042,8843,13.81896761,30.0056434622,24.7495366208,13.3928295377,487,295
5,207932455,Test,PS,2.88783729518,285,24.2757352941,112.415441176,20.4742647059,40.5772058824,1.10933333333,0.956812415232,31.5806451613,21.7096774194,25.0322580645,5.65824845125,5.28567051574,5.23585732541,19.052794204,2.74137989632,607.51851506,221.610480137,1140.42630385,3621.38461203,1.49138691189,1.38454714711,34.7497743921,8.48357438504,0.0227684106075,0.079690841566,15.8546910382,3.53889513383,6.77809264321,5.5021661713,0.127413127413,0.278481012658,0.0421068431727,0.952290026416,-0.195418772464,35.9941495802,204.921278961,27.0293470307,110.966624629,86.4666975542,0.600134695537,2.72712682426,2.01815466139,0.517027227936,1.17675336994,0.925812293156,1,8.0,6603,30306.0,5569,11037,15.4079715633,20.5042875585,45.4504569752,13.1985609397,283,159
6,207827656,Test,WS,40.7482976023,172,325.933333333,653.606060606,128.690909091,346.854545455,1.00583090379,0.992636296023,92.5629139073,61.9271523179,145.708609272,6.99811077484,6.80553842629,7.11932289606,14.8393950487,1.03972594079,176.769326214,170.015308149,691.802721088,1710.988979,1.30950391809,1.36219125515,12.3841986986,12.3841986986,0.00891408271567,0.00915530020613,8.24834437086,9.86754966887,7.01633309432,6.967390316,0.0198675496689,0.0198675496689,-0.196841369197,-0.860799367271,-0.405066941006,16.2049382823,231.993255503,15.9267384524,95.9695189759,49.5367947944,0.686937524084,1.04301301695,1.08627782314,-0.702595260633,0.153202330788,0.651166726597,1,5.0,53779,107681.0,21234,57231,115.004618265,70.9184438276,184.69290661,15.5366596763,191,127
7,207827659,Test,WS,173.957832956,177,260.059171598,596.420118343,123.840236686,273.295857988,1.01416430595,0.984021104055,89.2265372168,47.8155339806,139.291262136,6.89623912555,6.6608874243,7.03244948063,15.0181893906,1.08858303696,187.491847539,172.234768661,708.573696145,1773.58232765,1.24497348238,1.54522522991,12.5962365936,12.5962365936,0.00816643847794,0.00831198448024,12.8811269376,17.4093422706,7.17211984608,7.14234755307,0.0194805194805,0.0194805194805,0.250897694042,-0.598314643444,-0.82566956243,15.9184286256,230.293545055,15.9267384524,94.8130712012,50.3849463745,0.74684354801,1.06832892604,1.09195847608,-0.816060759573,-0.224481857034,0.102306209345,0,5.0,43950,100627.0,20929,46187,93.3882716394,47.2936618588,124.475306054,14.900306673,180,138
8,207827661,Test,PS,179.800466612,251,18.3375,5.72916666667,17.2333333333,1.55416666667,1.20038910506,0.831055399564,28.6179245283,19.2216981132,5.3820754717,5.31807000076,5.08564270721,2.29580407135,17.8969838154,2.8664150238,514.882283724,179.625866962,1006.2585034,3001.49869158,1.0,1.0,37.8486340283,7.11739786029,0.00611630012235,0.12732668628,32.7021783148,8.83373384064,7.55794430762,4.17787601306,0.0164319248826,0.341232227488,0.112969506661,-0.74863969333,2.03355925312,29.7081232709,218.264371774,29.3174431296,105.768806756,89.9320637772,0.685865910348,2.40624630615,2.38915996341,0.665503939906,0.0114293803682,1.61200784999,2,8.0,4401,1136.0,4136,373,12.4126384685,9.87229569159,2.30153556832,12.3462520005,373,181
9,207932479,Test,WS,18.9364197681,495,16.0528541226,89.4820295983,13.7167019027,51.4270613108,1.19230769231,0.821960124049,26.984036488,15.0661345496,36.1174458381,5.18920349659,4.49385144184,6.28118860962,25.1249262058,1.50668388128,1032.81927082,685.491683856,1983.16780045,8304.49077334,1.35524627028,1.45627166633,44.1477314724,11.7288892907,0.0896005351435,0.0192219404693,9.94364728521,9.56866288746,5.71178224725,6.96081398041,0.295194508009,0.112128146453,-0.219208563491,1.88482514694,-0.761011678716,32.3744598227,235.006209225,38.4303784906,79.5816122314,111.753241526,0.631820988171,1.33567143756,1.91929857817,0.596743643753,1.51738348971,0.421893434828,1,12.0,7593,41853.0,6488,24325,11.7925764665,17.9230229805,42.8378557966,24.2383410413,236,467
10,207932480,Test,WS,153.25242683,384,17.7438692098,89.931880109,20.4441416894,63.1117166213,1.16036505867,0.864979172855,25.7603550296,18.2307692308,38.0591715976,5.33497256503,5.32042492968,6.74038642795,22.131316885,1.75500014756,761.832025675,434.092285823,1538.73696145,5675.71254944,1.76241989118,1.65956638738,37.2444662576,10.7929942024,0.0122779172944,0.00802874060163,18.1397233894,12.3306372549,7.30951221477,7.40690065134,0.0863095238095,0.0470588235294,0.144554912878,-0.56811998402,0.191843091028,31.1358851883,220.154228832,36.1826510964,73.8506384381,96.0749209201,0.673802665797,1.69805113556,1.82727509576,0.586817622221,0.408254215925,0.675698138527,1,8.0,6512,32639.0,7503,23162,11.4665636065,14.8665823988,42.296424428,18.3362470871,303,468
