,Cell,Case,Class,AngleCh1,AngleStatusCh1,AreaCh1,AreaStatusCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,AvgIntenStatusCh1,AvgIntenStatusCh2,AvgIntenStatusCh3,AvgIntenStatusCh4,ConvexHullAreaRatioCh1,ConvexHullAreaRatioStatusCh1,ConvexHullPerimRatioCh1,ConvexHullPerimRatioStatusCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,DiffIntenDensityStatusCh1,DiffIntenDensityStatusCh3,DiffIntenDensityStatusCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EntropyIntenStatusCh1,EntropyIntenStatusCh3,EntropyIntenStatusCh4,EqCircDiamCh1,EqCircDiamStatusCh1,EqEllipseLWRCh1,EqEllipseLWRStatusCh1,EqEllipseOblateVolCh1,EqEllipseOblateVolStatusCh1,EqEllipseProlateVolCh1,EqEllipseProlateVolStatusCh1,EqSphereAreaCh1,EqSphereAreaStatusCh1,EqSphereVolCh1,EqSphereVolStatusCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberAlign2StatusCh3,FiberAlign2StatusCh4,FiberLengthCh1,FiberLengthStatusCh1,FiberWidthCh1,FiberWidthStatusCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocASMStatusCh3,IntenCoocASMStatusCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocContrastStatusCh3,IntenCoocContrastStatusCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocEntropyStatusCh3,IntenCoocEntropyStatusCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,IntenCoocMaxStatusCh3,IntenCoocMaxStatusCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,KurtIntenStatusCh1,KurtIntenStatusCh3,KurtIntenStatusCh4,LengthCh1,LengthStatusCh1,MemberAvgAvgIntenStatusCh2,MemberAvgTotalIntenStatusCh2,NeighborAvgDistCh1,NeighborAvgDistStatusCh1,NeighborMinDistCh1,NeighborMinDistStatusCh1,NeighborVarDistCh1,NeighborVarDistStatusCh1,PerimCh1,PerimStatusCh1,ShapeBFRCh1,ShapeBFRStatusCh1,ShapeLWRCh1,ShapeLWRStatusCh1,ShapeP2ACh1,ShapeP2AStatusCh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SkewIntenStatusCh1,SkewIntenStatusCh3,SkewIntenStatusCh4,SpotFiberCountCh3,SpotFiberCountCh4,SpotFiberCountStatusCh3,SpotFiberCountStatusCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,TotalIntenStatusCh1,TotalIntenStatusCh2,TotalIntenStatusCh3,TotalIntenStatusCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,VarIntenStatusCh1,VarIntenStatusCh3,VarIntenStatusCh4,WidthCh1,WidthStatusCh1,XCentroid,YCentroid
1,207827637,Test,PS,143.247704735,1,185,0,15.7118644068,3.95480225989,9.54802259887,2.21468926554,0,2,2,2,1.124508519,0,0.919682705372,0,29.5192307692,13.7756410256,6.82692307692,2,2,2,4.96978086367,4.37101744229,2.71888366113,2,0,2,15.3695395798,0,3.06067606748,1,336.969143297,0,110.096310706,0,742.115646259,0,1900.99596633,0,0.0,0.0,2,2,26.9813246758,0,7.4103651565,2,0.0111838985221,0.0504480052908,0,0,40.7517772755,13.8954386686,1,1,7.19945754822,5.24974363971,0,0,0.0774193548387,0.171974522293,0,0,-0.656744087043,-0.608058267903,0.725814546074,0,0,0,26.2077874658,0,0,0,370.454298905,1,99.1034927113,1,127.960800633,0,68.7833796646,0,0.665147951309,0,2.46244975291,0,1.88300601612,0,0.454504838187,0.460393403457,1.23277360124,0,0,0,1,4,0,0,2781,700,1690,392,0,2,0,2,12.474676062,7.60903484971,2.71409983195,0,2,2,10.6429735002,2,42,14
2,207932307,Train,PS,133.752036738,0,819,1,31.9232736573,205.878516624,69.9168797954,164.153452685,0,0,0,0,1.26315789474,1,0.797080136607,2,31.875,43.1222826087,79.308423913,0,0,0,6.08759219183,6.64276065252,7.88015471811,0,1,1,32.3055843481,1,1.55839419175,0,2232.9054846,1,1432.82456802,1,3278.72562358,1,17653.5245311,1,0.487935410985,0.352374246676,0,0,64.2823016059,1,13.1670790598,0,0.0280510612643,0.0125949750411,0,0,8.22795294561,6.9840456661,0,0,6.82213758358,7.09898842821,0,0,0.153214774282,0.0738714090287,0,0,-0.248769067292,-0.330783899631,-0.265263786266,0,0,0,47.218548014,1,0,0,174.444157107,2,30.111141443,0,81.3806327515,2,154.898761331,1,0.539758366756,2,1.46818085333,0,2.25581038098,0,0.398704674532,0.619730785592,0.527263128574,0,0,0,4,11,1,1,24964,160997,54675,128368,0,1,1,1,18.8092251819,56.7153524052,118.388138715,0,0,0,32.161261269,1,215,347
3,207932463,Train,WS,106.64638727,0,431,0,28.0388349515,115.315533981,63.9417475728,106.696601942,0,0,0,0,1.05330990041,0,0.935474953289,0,32.4877102199,35.9857697283,51.3570504528,0,0,0,5.88355654897,6.68300002875,7.14460116868,0,1,0,23.4489193276,0,1.37538618804,0,802.194543937,0,583.250399717,0,1727.41043084,0,6750.98463974,0,0.300521978954,0.522315823937,0,0,21.141149578,0,21.141149578,1,0.00686231526737,0.006141691108,0,0,14.4460737716,16.7008434864,0,1,7.58010023856,7.67147821856,1,1,0.0283505154639,0.0231958762887,2,2,-0.293484630014,1.05128133587,0.150614005698,0,0,0,28.1430314458,0,0,0,158.477377032,2,34.944765292,0,90.4376825503,2,84.5645983118,0,0.724311593036,1,1.32840848796,0,1.27219265225,0,0.472487087102,0.971378787001,0.324706503966,0,0,0,2,6,0,0,11552,47510,26344,43959,0,0,0,0,17.2956430509,37.6710533054,49.4705236166,0,0,0,21.1855251611,0,371,252
4,207932470,Train,PS,69.1503248055,0,298,0,19.4561403509,101.294736842,28.2175438596,31.0280701754,0,0,0,2,1.20262510254,0,0.865829114036,2,26.7322834646,22.9173228346,26.3937007874,2,0,2,5.42006493168,5.43673168917,5.77832948116,2,0,0,19.5027859614,0,3.39122021854,1,724.714309992,0,213.703110765,0,1194.93197279,0,3884.08375062,0,0.220423900853,0.733250443829,0,1,43.1411228334,0,7.40441241566,2,0.0309620712698,0.0110331951205,0,0,7.29945736434,13.3908837209,0,1,6.31264099211,7.19702609874,0,0,0.162790697674,0.077519379845,0,0,0.625856124168,0.127740606543,-0.347293645256,0,0,0,37.8595737382,0,0,0,206.334368716,0,33.080298101,0,116.892757028,0,101.091070498,0,0.589162544598,0,2.82685399912,1,2.54584001796,1,0.881671383535,0.999892798356,0.604439875533,1,0,0,4,7,1,0,5545,28869,8042,8843,0,0,0,2,13.81896761,30.0056434622,24.7495366208,0,0,2,13.3928295377,0,487,295
5,207932455,Test,PS,2.88783729518,2,285,0,24.2757352941,111.415441176,20.4742647059,40.5772058824,0,0,0,0,1.10933333333,0,0.956812415232,0,31.5806451613,21.7096774194,25.0322580645,0,0,2,5.65824845125,5.28567051574,5.23585732541,2,0,0,19.052794204,0,2.74137989632,0,607.51851506,0,221.610480137,0,1140.42630385,0,3621.38461203,0,0.491386911889,0.384547147106,0,0,34.7497743921,0,8.48357438504,2,0.0227684106075,0.079690841566,0,0,15.8546910382,3.53889513383,0,2,6.77809264321,5.5021661713,0,0,0.127413127413,0.278481012658,0,0,0.0421068431727,0.952290026416,-0.195418772464,0,0,0,35.9941495802,0,0,0,204.921278961,0,27.0293470307,0,110.966624629,0,86.4666975542,0,0.600134695537,0,2.72712682426,1,2.01815466139,0,0.517027227936,1.17675336994,0.925812293156,0,0,0,1,7,0,0,6603,30305,5569,11037,0,0,0,0,15.4079715633,20.5042875585,45.4504569752,0,0,0,13.1985609397,0,283,159
6,207827656,Test,WS,40.7482976023,2,172,0,325.933333333,652.606060606,128.690909091,346.854545455,1,1,1,1,1.00583090379,0,0.992636296023,1,92.5629139073,61.9271523179,145.708609272,1,1,1,6.99811077484,6.80553842629,7.11932289606,0,1,0,14.8393950487,2,1.03972594079,0,176.769326214,0,170.015308149,0,691.802721088,0,1710.988979,0,0.309503918089,0.362191255148,0,0,12.3841986986,0,12.3841986986,0,0.00891408271567,0.00915530020613,0,0,8.24834437086,9.86754966887,0,0,7.01633309432,6.967390316,0,0,0.0198675496689,0.0198675496689,2,2,-0.196841369197,-0.860799367271,-0.405066941006,0,0,0,16.2049382823,2,0,0,231.993255503,0,15.9267384524,0,95.9695189759,0,49.5367947944,0,0.686937524084,0,1.04301301695,0,1.08627782314,0,-0.702595260633,0.153202330788,0.651166726597,2,2,0,1,4,0,0,53779,107680,21234,57231,1,1,0,0,115.004618265,70.9184438276,184.69290661,1,0,0,15.5366596763,0,191,127
7,207827659,Test,WS,173.957832956,1,177,0,260.059171598,595.420118343,123.840236686,273.295857988,1,1,1,0,1.01416430595,0,0.984021104055,1,89.2265372168,47.8155339806,139.291262136,1,0,1,6.89623912555,6.6608874243,7.03244948063,0,1,0,15.0181893906,2,1.08858303696,0,187.491847539,0,172.234768661,0,708.573696145,0,1773.58232765,0,0.244973482377,0.54522522991,0,0,12.5962365936,0,12.5962365936,0,0.00816643847794,0.00831198448024,0,0,12.8811269376,17.4093422706,0,1,7.17211984608,7.14234755307,0,0,0.0194805194805,0.0194805194805,2,2,0.250897694042,-0.598314643444,-0.82566956243,0,0,0,15.9184286256,2,0,0,230.293545055,0,15.9267384524,0,94.8130712012,0,50.3849463745,0,0.74684354801,1,1.06832892604,0,1.09195847608,0,-0.816060759573,-0.224481857034,0.102306209345,2,2,0,0,4,2,0,43950,100626,20929,46187,0,1,0,0,93.3882716394,47.2936618588,124.475306054,1,0,0,14.900306673,0,180,138
8,207827661,Test,PS,179.800466612,1,251,0,18.3375,4.72916666667,17.2333333333,1.55416666667,0,2,0,2,1.20038910506,0,0.831055399564,2,28.6179245283,19.2216981132,5.3820754717,2,0,2,5.31807000076,5.08564270721,2.29580407135,2,0,2,17.8969838154,0,2.8664150238,0,514.882283724,0,179.625866962,0,1006.2585034,0,3001.49869158,0,0.0,0.0,2,2,37.8486340283,0,7.11739786029,2,0.00611630012235,0.12732668628,0,0,32.7021783148,8.83373384064,1,0,7.55794430762,4.17787601306,1,2,0.0164319248826,0.341232227488,2,1,0.112969506661,-0.74863969333,2.03355925312,0,0,0,29.7081232709,0,0,0,218.264371774,0,29.3174431296,0,105.768806756,0,89.9320637772,0,0.685865910348,0,2.40624630615,0,2.38915996341,1,0.665503939906,0.0114293803682,1.61200784999,0,2,1,2,7,0,0,4401,1135,4136,373,0,2,0,2,12.4126384685,9.87229569159,2.30153556832,0,2,2,12.3462520005,2,373,181
9,207932479,Test,WS,18.9364197681,2,495,0,16.0528541226,88.4820295983,13.7167019027,51.4270613108,0,0,0,0,1.19230769231,0,0.821960124049,2,26.984036488,15.0661345496,36.1174458381,2,2,0,5.18920349659,4.49385144184,6.28118860962,2,0,0,25.1249262058,0,1.50668388128,0,1032.81927082,0,685.491683856,0,1983.16780045,0,8304.49077334,0,0.355246270279,0.456271666327,0,0,44.1477314724,0,11.7288892907,0,0.0896005351435,0.0192219404693,0,0,9.94364728521,9.56866288746,0,0,5.71178224725,6.96081398041,0,0,0.295194508009,0.112128146453,0,0,-0.219208563491,1.88482514694,-0.761011678716,0,0,0,32.3744598227,0,0,0,235.006209225,0,38.4303784906,0,79.5816122314,2,111.753241526,0,0.631820988171,0,1.33567143756,0,1.91929857817,0,0.596743643753,1.51738348971,0.421893434828,0,0,0,1,11,0,1,7593,41852,6488,24325,0,0,0,0,11.7925764665,17.9230229805,42.8378557966,0,0,0,24.2383410413,1,236,467
10,207932480,Test,WS,153.25242683,1,384,0,17.7438692098,88.931880109,20.4441416894,63.1117166213,0,0,0,0,1.16036505867,0,0.864979172855,2,25.7603550296,18.2307692308,38.0591715976,2,0,0,5.33497256503,5.32042492968,6.74038642795,2,0,0,22.131316885,0,1.75500014756,0,761.832025675,0,434.092285823,0,1538.73696145,0,5675.71254944,0,0.762419891177,0.65956638738,1,1,37.2444662576,0,10.7929942024,0,0.0122779172944,0.00802874060163,0,0,18.1397233894,12.3306372549,1,1,7.30951221477,7.40690065134,1,1,0.0863095238095,0.0470588235294,0,0,0.144554912878,-0.56811998402,0.191843091028,0,0,0,31.1358851883,0,0,0,220.154228832,0,36.1826510964,0,73.8506384381,2,96.0749209201,0,0.673802665797,0,1.69805113556,0,1.82727509576,0,0.586817622221,0.408254215925,0.675698138527,0,0,0,1,7,0,0,6512,32638,7503,23162,0,0,0,0,11.4665636065,14.8665823988,42.296424428,0,2,2,18.3362470871,0,303,468
